group|tag|exper_id|status|ckpt_type|priority|premptible_flag|override|results_dataset|workspace

1pct_nosmooth_0256to0350-ocean_extra|rs0|01KHJB41R1GEHTRQ8MXHF7NS3M|run_ICx1|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_correctOHC_50Ep|rs0|01KHT9KJMM3Q55K0C1ZA4BCV16|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_correct_OSC_OHC_50Ep|rs0|01KJCBSDVQX7QBWHNR0YVK8TX3|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_correct_OSC_OHC_50Ep|rs0||training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_correct_OSC_OHC_50Ep|rs0|01KJER4YZYF4KZMF81MVMEBNVJ|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_MLD|rs0|01KJEZ5S4KXT89A304SEG2ZB83|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_MLDgeo|rs0|01KJEZ681QFBBWY6WDVMM2CC49|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_MLD_OHC|rs0|01KJFYKA502JX13Q160CM4G55A|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_MLDsoft0p01_OHC|rs0|01KJG37VJNDE0JQWXTQ4C8XP3E|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_MLDsoft0p01geo_OHC|rs0|01KJGDYYKT183J9S3P74MZHM17|training|best_inference_ckpt|normal|--not-preemptible

1pct_nosmooth_0256to0350-ocean_extra-ft_MLDgeo_OHC|rs0|01KJGDZDDC6QXGK7PV7BTM6YND|training|best_inference_ckpt|normal|--not-preemptible
