variable,plev_index,n_models,median,iqr,min,max,range
hus,7.0,19,0.7199996500173085,0.2818659076724823,0.1027445804792872,0.8275387425411556,0.7247941620618683
hus,6.0,19,0.37068599512244416,0.23378969940115024,0.20317081534338777,0.8714510598393551,0.6682802444959673
hus,5.0,19,0.23274931972726906,0.16517887362818237,0.14875172263857384,0.5346893323318388,0.38593760969326496
ta_derived_layer_4,,19,0.3669320567813985,0.08930605862932817,0.2906869945710757,0.6447381849239275,0.3540511903528518
ua,5.0,19,0.5005867252869849,0.07461241664293183,0.3268692818115944,0.6469686059275892,0.3200993241159948
psl,,20,0.5350084294196025,0.05781027998385058,0.3112358609634427,0.6215205117538202,0.3102846507903775
zg,6.0,19,0.5530427520914656,0.06198825900154148,0.3507645344576999,0.6516007659329657,0.3008362314752658
ua,6.0,19,0.5966879926875742,0.0801646607433858,0.4110755401522921,0.6913364053602056,0.2802608652079135
zg,7.0,19,0.3227972218996081,0.0633284200456361,0.2149574225883606,0.44959539252860575,0.23463796994024516
ua,7.0,19,0.3997572925005082,0.16216844910047823,0.2972495134243774,0.5275921985671134,0.23034268514273598
tas,,20,0.8509942570273545,0.01810220893887471,0.6775015033162192,0.8718086138470176,0.1943071105307984
hus,4.0,19,0.49054663642632257,0.09049267874525735,0.37965422492543777,0.5601662200670977,0.18051199514165994
hus,3.0,19,0.4153153530448711,0.05141101294543837,0.32849003798629106,0.5083142992065477,0.17982426122025663
ta_derived_layer_5,,19,0.6721551574525915,0.03639192317030959,0.6303908303583429,0.8047280740275919,0.17433724366924908
ua,0.0,19,0.46111396061835364,0.06736501652125837,0.3624399257620095,0.5333736495149355,0.17093372375292598
huss,,20,0.8471050681261751,0.018722400442187204,0.7351545282329132,0.89744533583956,0.16229080760664683
ua,2.0,19,0.48160415931504397,0.057438716608913365,0.4023454743600536,0.5610713899515962,0.15872591559154264
ua,1.0,19,0.48637348317387724,0.06309774971531346,0.3992710829103731,0.5579105355763604,0.15863945266598728
uas,,15,0.44311189414012886,0.04762117196300453,0.3709479878506914,0.517480150801608,0.14653216295091664
ta_derived_layer_2,,19,0.8408116467417927,0.014763111984909538,0.7216363274684716,0.8584200301161686,0.13678370264769701
hfss,,18,0.3329829407323456,0.06913887307239303,0.2765746250391563,0.4116997029081803,0.135125077869024
ta_derived_layer_1,,19,0.8490982739321126,0.009295956001147854,0.7306138884225228,0.8613214797421692,0.13070759131964638
ua,4.0,19,0.39731315335949496,0.045221526066303086,0.35445966323978645,0.48329705947789053,0.12883739623810408
ta_derived_layer_0,,19,0.8705274909465035,0.011080553871162024,0.7532796634693619,0.8813224018396115,0.1280427383702496
zg,5.0,19,0.7682364924214479,0.02474420395315402,0.7000196169265253,0.8173442435113375,0.11732462658481224
rsds,,19,0.3607533912006049,0.03224910008418824,0.28765073980935285,0.39910628721329355,0.1114555474039407
ua,3.0,19,0.4312826745380313,0.045056590887477765,0.3872110386431334,0.49096320455186526,0.10375216590873187
siconc,,10,0.8201866818819704,0.05327994919693824,0.7619562281901552,0.8656701099331015,0.10371388174294627
va,7.0,19,0.13036414410284833,0.041930443663946354,0.0772358855800221,0.1767927083357076,0.09955682275568549
hfls,,19,0.530899631010993,0.027428979504573014,0.5097643706816526,0.6074715510217628,0.09770718034011017
zg,0.0,19,0.9163781244451727,0.020006809764021916,0.8785866039655545,0.9751634044030284,0.09657680043747385
vas,,15,0.17622622958430834,0.031038408254278033,0.139569490000887,0.2341082916860399,0.09453880168515288
ta_derived_layer_6,,19,0.10724139179888698,0.02459249035197572,0.0806390997607258,0.17415531815921415,0.09351621839848835
ta_derived_layer_3,,19,0.837600327125546,0.00873072698899402,0.7747396351679962,0.8651422669663659,0.09040263179836971
rlut,,17,0.5203315437069723,0.04132260058246906,0.4877566417480284,0.5775255219843716,0.08976888023634316
sfcWind,,19,0.508358680383605,0.012237872458664922,0.4895360535473234,0.5755055735081503,0.08596951996082697
pr,,19,0.1695092297897185,0.02980233546570138,0.13006368303885146,0.2121644850346758,0.08210080199582434
hus,2.0,19,0.5348368253675088,0.022688740829319154,0.4987960860033067,0.5780576723683587,0.07926158636505198
hus,1.0,19,0.7231719749977953,0.03455317586685902,0.6887566556818673,0.7649204874163222,0.07616383173445496
va,6.0,19,0.09911816108998217,0.021408659413340858,0.0596245214733238,0.12874110331070832,0.06911658183738452
zg,3.0,19,0.8427581398366044,0.024680669901626207,0.8018741629612554,0.8613081962796643,0.05943403331840891
rsus,,17,0.4332822834867782,0.02422000082863829,0.3981937508622259,0.4555531773875838,0.05735942652535786
va,0.0,19,0.1465853437608251,0.014351675728198648,0.1249342716693329,0.17130805919887773,0.04637378752954484
rlus,,18,0.8612980787547742,0.011498892775983593,0.8403034641664584,0.8851049283049818,0.04480146413852337
va,5.0,19,0.07503004290427785,0.011153833923311762,0.0431800514089519,0.08758646254815544,0.044406411139203544
ts,,22,0.8764553292913441,0.014327214406862132,0.8579510740778569,0.8992380243103766,0.041286950232519715
rlds,,18,0.7913632239069234,0.0239719128015059,0.7753510867071434,0.8151422808353054,0.03979119412816201
va,1.0,19,0.08347374417109625,0.012921921425015637,0.0659648137734637,0.10201438664095137,0.03604957286748767
hus,0.0,19,0.8520870834841577,0.00995136859705581,0.8355810770408978,0.871399734125245,0.03581865708434717
zg,4.0,19,0.8566253029050448,0.016818272605993334,0.8370531424397973,0.8716459583033273,0.03459281586352991
zg,2.0,19,0.9288159089227819,0.015833811355555505,0.9072145086868892,0.9407828961875881,0.033568387500698904
va,2.0,19,0.0618758726549215,0.01200911568747949,0.04779905291761585,0.07633371949719304,0.028534666579577192
va,4.0,19,0.0426199601976833,0.006177923934849734,0.034006879903990296,0.0591522233860051,0.025145343482014804
va,3.0,19,0.04152154088110872,0.011414159039600538,0.0305058625729747,0.054891769015003394,0.024385906442028694
zg,1.0,19,0.9707122299921886,0.0036418283419308306,0.9657260085497246,0.9760141702966494,0.010288161746924818
