variable,plev_index,category,n_models,median,iqr,min,max,max_over_median,cov
huss,,2D state,20,0.0010335321590644875,0.00015360587633927514,0.0007155268534054,0.0010896743063667,1.0543206583460645,0.12492823530553285
pr,,2D state,19,5.680880997549492e-05,1.1122739886476562e-05,4.519512769360045e-05,6.613458003422726e-05,1.1641606304155132,0.12160667276046308
psl,,2D state,20,503.52228063129,25.719060197590295,332.3830131514624,590.0322398822036,1.1718095952823615,0.10058544108427984
tas,,2D state,20,1.7849178771916208,0.1942115396056412,1.2188292461850334,1.915548123550347,1.0731855779069563,0.09740187378665723
hus,0.0,3D state,19,0.001162839483938375,0.00012936589138754168,0.00091496101672115,0.00139669944059685,1.2011111248703252,0.11338271182851539
hus,1.0,3D state,19,0.0013327874129203333,0.00021341952696181258,0.0010729386287752002,0.0015011393767934665,1.1263156916407615,0.10300345797101958
hus,2.0,3D state,19,0.001192991996214625,0.00016381659397978745,0.00104355975002305,0.001350655371662925,1.1321579490462361,0.08702408514508397
hus,3.0,3D state,19,0.0006257195192750166,0.00011046095026874992,0.00047843391202165005,0.0007342468985510166,1.173444132607121,0.12920970938291196
hus,4.0,3D state,19,4.476880259293725e-05,2.1016764721252952e-05,2.3151879229954128e-05,5.924014469088012e-05,1.3232461281022934,0.2967896745563867
hus,5.0,3D state,19,2.640791736471224e-07,8.326783013647037e-08,8.769853770964147e-08,7.67945796634456e-07,2.9080134795507533,0.5536534646400049
hus,6.0,3D state,19,8.213142988072287e-08,2.0985031954354237e-08,5.1115985112406484e-08,2.0621514420735916e-07,2.5107945217420364,0.41278464982119834
hus,7.0,3D state,19,5.0493775108928496e-08,3.756061681330323e-08,2.01100128897135e-08,1.3986279247748986e-07,2.769901679479671,0.522521971014514
ua,0.0,3D state,19,4.143928635438885,0.30064911542252215,3.910321620204205,4.540637135015413,1.0957324641606703,0.04699208215164695
ua,1.0,3D state,19,4.238603293444537,0.3335824411770556,3.8717259860674123,4.822695501527045,1.1378029901939328,0.058424534580003885
ua,2.0,3D state,19,4.312793068154156,0.281838231102304,3.7940463800035875,4.964919136235615,1.1512073632506936,0.0620012705006691
ua,3.0,3D state,19,5.587822694266187,0.42063056747332794,4.977191781990129,6.374896241101329,1.140855139810141,0.05878085306308638
ua,4.0,3D state,19,8.573802262430421,0.4482816481208616,6.782956702205862,9.590021167212546,1.118526048732789,0.08381140013650629
ua,5.0,3D state,19,4.332461924308586,0.30352465040814103,3.8498488760289216,4.68169858104066,1.0806092847054412,0.0621986118139069
ua,6.0,3D state,19,3.0980254165090217,0.29152382171927815,2.675691385624868,3.4429387266529208,1.1113332732216772,0.07084673178054278
ua,7.0,3D state,19,4.089815505075279,0.43297893052504755,3.625419927332847,4.532740383470325,1.1082994765522787,0.06174430498558298
va,0.0,3D state,19,4.6432755822423415,0.24314750119352624,4.280462791603121,5.017982455575979,1.080698822780767,0.041738154525848795
va,1.0,3D state,19,4.68190987817665,0.19206170112160148,4.346880864032135,5.102541882434001,1.089841969453108,0.0430582769227324
va,2.0,3D state,19,4.907264282851276,0.2367179351360118,4.423890618410167,5.410055819817926,1.102458622154035,0.046740730312814525
va,3.0,3D state,19,6.65020335724431,0.3706656572977458,6.063733623133835,7.193530996931049,1.0817009060474627,0.044199078410175265
va,4.0,3D state,19,10.376994338134642,0.4991565182965605,8.240135891635688,11.57518793429349,1.11546634382902,0.08066740968476695
va,5.0,3D state,19,4.875283359851113,0.41079118697793504,4.3819240683170095,5.345257577780132,1.096399364557832,0.05826778920891132
va,6.0,3D state,19,3.2820907480000674,0.32752177505785784,2.646743907385775,3.6826882975060826,1.1220555981732432,0.08093813297200186
va,7.0,3D state,19,3.776071228668882,0.5082390092260756,3.4432856494331734,4.27615020208168,1.1324336706405516,0.07392221057820636
zg,0.0,3D state,19,260.42297298767056,26.462305064770362,51.85173565720788,313.6525300344018,1.2043965493368796,0.2938658954746725
zg,1.0,3D state,19,74.23707453759404,12.500289957171958,42.13964130250946,89.44523617300297,1.2048593877134455,0.1688177734315194
zg,2.0,3D state,19,60.87659340481414,9.128993545965884,42.14220286692852,67.3607149411095,1.106512555542942,0.13209827524783738
zg,3.0,3D state,19,50.68219148303886,3.622994289541765,43.86538600404579,57.19817959591093,1.128565634638208,0.06316762743505308
zg,4.0,3D state,19,72.25590919693619,5.167816596470118,57.59728656737179,79.34174389611793,1.0980658160409973,0.0771648637226101
zg,5.0,3D state,19,46.13817244204286,5.2277176729271275,38.83078038453323,54.65519039395106,1.1845980779279235,0.08679810487342365
zg,6.0,3D state,19,44.44342560177025,3.972666119564579,36.06347382194248,52.742417934895975,1.1867316081232757,0.09532826124278898
zg,7.0,3D state,19,64.38119182832197,5.332672976785332,57.16331112689599,80.80118701329663,1.2550433553445235,0.08440500332753886
ta_derived_layer_0,,derived layer T,19,2.619557587311442,0.18956668087725914,2.244108458252055,5.070706299336784,1.9357109474890588,0.2601159064884921
ta_derived_layer_1,,derived layer T,19,2.318830864725898,0.18114331627496583,2.1221497845550026,2.944201830787097,1.2696923590134817,0.07671779988931576
ta_derived_layer_2,,derived layer T,19,2.265603946253158,0.14576416020256833,2.003317295867048,2.747777051500213,1.2128232103605177,0.06914432008115567
ta_derived_layer_3,,derived layer T,19,1.678761471623903,0.09873521109004413,1.234760259079101,1.9667689832616515,1.171559519625592,0.1034911976430782
ta_derived_layer_4,,derived layer T,19,1.8459560874914045,0.12369666852107786,1.4497754127997196,2.0433373109543633,1.106926283241761,0.07805448445701599
ta_derived_layer_5,,derived layer T,19,1.3700754997647477,0.12515926558423618,1.128535643429821,1.48684840036959,1.0852309968500955,0.07614279201048839
ta_derived_layer_6,,derived layer T,19,1.0706791193212823,0.08855617954858785,0.9615919585522192,1.2948938154706373,1.209413532124814,0.06807489434798861
hfls,,flux,19,36.21239376221072,1.9243500307198929,30.185794239442476,40.51567619878094,1.1188345201598047,0.0730998484609594
